店舗名,住所
海鮮居酒屋 はなの舞 二俣川南口店,神奈川県横浜市旭区二俣川2-62-7
国産黒毛和牛×韓国料理 濱や本館 関内,神奈川県横浜市中区常盤町6-76
あけぼの食堂,神奈川県横浜市神奈川区鶴屋町2-19
【個室完備】鮮魚と焼鳥ともつ焼きすみび 大和店,神奈川県大和市大和南1-2-12
豚まる,神奈川県藤沢市南藤沢23-10
食彩和牛 しげ吉 本厚木店,神奈川県厚木市泉町4-6
シュラスコ＆ビアレストラン ALEGRIA YOKOHAMA,神奈川県横浜市西区南幸2-13-22
シュラスコ＆ビアレストラン ALEGRIA みなとみらい,神奈川県横浜市中区本町6-50-10
ホルモン商事 寅や,神奈川県平塚市紅谷町14-3
やきにくガッッツ,神奈川県横浜市鶴見区鶴見中央4-18-5
シュラスコ＆ビアレストラン ALEGRIA 溝の口,神奈川県川崎市高津区溝口1-11-8
名物ホルモン 七輪もつ焼き 鉄ノ四 宮前平,神奈川県川崎市宮前区宮前平1-10-13
肉のとみい綱島店,神奈川県横浜市港北区綱島西2-6-20
牛兵衛 草庵京急上大岡店,神奈川県横浜市港南区上大岡西1-6-1
韓の台所新川通り店,神奈川県川崎市川崎区東田町1-2
炭焼きとワイン PEQUE【ペケ】新百合ヶ丘,神奈川県川崎市麻生区上麻生1-6-3
A5 黒毛和牛 別所 京城苑,神奈川県横浜市中区港町2-9-7
YAKINIKU 牛慶 ～ヤキニクウシヨシ～鷺沼店,神奈川県川崎市宮前区小台1-19-5
